t	y	dy	ddy
9.956983021350380714e-01	1.641276142581272746e-01	3.283335496262474451e-01	3.230669963995205785e-01
1.005698302135038080e+00	1.674270964133499628e-01	3.315628812204465814e-01	3.227993224777043202e-01
1.015698302135038089e+00	1.707588583726793730e-01	3.347895104498552765e-01	3.225265234419539828e-01
1.025698302135038098e+00	1.741228728552462746e-01	3.380133858702554228e-01	3.222485606765232435e-01
1.035698302135038107e+00	1.775191120638202613e-01	3.412344556536202056e-01	3.219653960353875966e-01
1.045698302135038116e+00	1.809475476809953021e-01	3.444526675928502590e-01	3.216769918500956837e-01
1.055698302135038125e+00	1.844081508654230595e-01	3.476679691065890365e-01	3.213833109376291186e-01
1.065698302135038134e+00	1.879008922480948363e-01	3.508803072441162296e-01	3.210843166082696376e-01
1.075698302135038142e+00	1.914257419286727602e-01	3.540896286903201795e-01	3.207799726734697487e-01
1.085698302135038151e+00	1.949826694718711229e-01	3.572958797707490031e-01	3.204702434537258782e-01
1.095698302135038160e+00	1.985716439038886783e-01	3.604990064567403785e-01	3.201550937864501845e-01
1.105698302135038169e+00	2.021926337088925385e-01	3.636989543706299899e-01	3.198344890338394308e-01
1.115698302135038178e+00	2.058456068255545834e-01	3.668956687910387426e-01	3.195083950907383064e-01
1.125698302135038187e+00	2.095305306436411608e-01	3.700890946582385821e-01	3.191767783924941426e-01
1.135698302135038196e+00	2.132473720006568541e-01	3.732791765795965833e-01	3.188396059228008617e-01
1.145698302135038205e+00	2.169960971785429293e-01	3.764658588350975887e-01	3.184968452215295454e-01
1.155698302135038213e+00	2.207766719004316536e-01	3.796490853829452838e-01	3.181484643925426292e-01
1.165698302135038222e+00	2.245890613274568182e-01	3.828287998652407653e-01	3.177944321114896664e-01
1.175698302135038231e+00	2.284332300556214945e-01	3.860049456137395474e-01	3.174347176335813869e-01
1.185698302135038240e+00	2.323091421127236877e-01	3.891774656556856726e-01	3.170692908013394429e-01
1.195698302135038249e+00	2.362167609553409431e-01	3.923463027197236497e-01	3.166981220523196749e-01
1.205698302135038258e+00	2.401560494658741551e-01	3.955113992418872182e-01	3.163211824268055694e-01
1.215698302135038267e+00	2.441269699496518009e-01	3.986726973716648859e-01	3.159384435754691300e-01
1.225698302135038276e+00	2.481294841320953182e-01	4.018301389781418487e-01	3.155498777669968336e-01
1.235698302135038285e+00	2.521635531559459631e-01	4.049836656562183501e-01	3.151554578956773933e-01
1.245698302135038293e+00	2.562291425515680898e-01	4.081332260863190231e-01	3.147551607797869355e-01
1.255698302135038302e+00	2.603262058023942949e-01	4.112787515937505467e-01	3.143489561152688072e-01
1.265698302135038311e+00	2.644547038969969899e-01	4.144201854165872057e-01	3.139368198373824748e-01
1.275698302135038320e+00	2.686145956239388011e-01	4.175574681163027879e-01	3.135187274166494342e-01
1.285698302135038329e+00	2.728058391735707633e-01	4.206905400116616178e-01	3.130946549869719764e-01
1.295698302135038338e+00	2.770283921384817383e-01	4.238193411860290416e-01	3.126645793523657457e-01
1.305698302135038347e+00	2.812822115109262500e-01	4.269438114941984663e-01	3.122284779942762767e-01
